//Reference=MNI 
//Bunzeck, 2014: Recall > Forgotten, increases 
//Subjects=32
	12	60	6

//Inglesias, 2021: epsilon-2, increases 
//Subjects=47
	18	23	59
	51	-69	32

//Inglesias, 2021: delta-1, increases 
//Subjects=47
	48	-57	34

//Inglesias, 2021: psi-2, increases 
//Subjects=47
	-48	5	1
	-44	-73	23
	27	-42	-12


//Thiel, 2005: Alerting & Reorienting, increases
//Subjects=15
	39	-48	45
	51	12	42
	0	12	66
	-36	-63	-42
	-27	-42	39
	-30	-9	42
	-36	6	24
	9	9	54
	30	-48	-24
	-39	-54	6
	-45	3	3
	-9	-18	-18
	-3	-72	-24
	9	-57	-33

//Bentley, 2004: Spatial attention > control, increases
//Subjects=18
	30	-81	18
	-36	-87	0	
	-36	54	-6	
	18	3	-9	

//Giessing, 2006: low cue reliability > high, increases
//Subjects= 15
	-58	-18	-12
	-64	-42	0
	-48	-34	-4
	-46	-26	-24
	12	-16	-20
	24	-58	60
	-48	-34	36
	-12	-100	12
	-20	26	40
	-68	-38	4
	34	-48	38
	34	2	-24
	-20	-106	-2
	-8	-104	10
	-42	-58	-24

//Thiel, 2007: visual cues > no cue, increases 
//Subjects=14
	48	-54	39

//Azizian, 2010: incongruent > congruent, increases  
//Subjects=20
	49.31	25.71	25.82

//Beaver, 2011: RVIP > control, increases  
//Subjects=15
	-10.19	-.97	9.15
	8.48	20.06	34.5
	24.86	-56.93	42.73
	-44.72	8.08	33.43
	-34.82	19.12	-1.27
	-8.2	-15.31	5.54

//Mobascher, 2012: target > baseline, increases  
//Subjects=15
	8.26	47.71	9.47
	-1.76	28.17	32.35
	2.08	45.58	5.57
	-1.98	43.63	7.69
	27.11	16.63	56.56
	-22.1	34.67	42.44
	29.13	16.56	54.53
	-26.2	34.68	42.48
	24.73	62.15	18.92
	-2	61.83	5.12
	41.41	-30.05	59.86
	18.54	-18.98	21.48

//Warbrick, 2012: target > baseline, increases  
//Subjects=19
	10.56	-18.3	41.7
	24.9	18.16	40.41
	24.81	30.01	29.99
	8.28	47.77	11.48
	2.31	28.09	30.29
	-24.15	34.68	42.46
	45.12	53.75	12.91
	45.38	22.19	42.09

//Moran, 2018: Stop error > go, increases  
//Subjects=12
	-7.95	66.49	23.17
	-6.17	53.48	-2.65

//Handjaras, 2013: Encoding > Control, increases 
//Subjects=6
	28.19	-67.45	-8.48
	-31.2	-66.28	-4.22
	11.34	-78.43	24.27
	45.87	-5.28	35.5
	-38.77	11.28	10.65
	22	-75.07	13.67
	-24.11	-83.59	39.95
	-36.48	-68.66	5.07
	-7.26	-70.38	8.1

//Kumari, 2003: 0,1,2 back > rest, increases 
//Subjects=11
	8.1	0.32	40.07
	7	5.63	39.56
	56.7	8.04	39.6
	62.26	-40.01	42.01
	-55.49	-42.55	44.27
	-53.58	9.26	35.75
	8.12	5.95	42.87
	56.7	8.04	39.6
	-53.55	7.23	37.07
	62.26	-40.01	42.01
	-55.49	-42.55	44.27
	51.42	5.66	48.89
	-45.58	-48.72	58.16

//Hahn, 2007: low intensity cue > high intensity cue, increases  
//Subjects=17
	42.75	19.44	32.54
	-32.39	-43.89	42.44
	-24.2	-73.47	-8

//Hahn, 2009: Selective Attention > stimulus detection, increases 
//Subjects=18
	44.88	30.26	32.22
	37.18	-1.29	66.06

//Lawrence, 2002: RVIP > Control, increases 
//Subjects=15
	35.36	-50.22	49.09
	-29.48	-54.91	48.41
	-11.66	-16.28	12.91
	-.55	-42.44	31
	6.65	-16.63	8.15
	-13.83	-1.08	14.81
	12.09	-.99	14.36
	-41.97	-66.11	-1.81
	46.58	-60.59	-4.99

//Furey, 2000a: face encoding > Control, increases 
//Subjects=7
	-24.77	-81.98	-11.74
	20.6	-84.05	-13.43
	-29.17	-55.2	-12.07
	30.21	-58.6	-17.23
	-33.07	-73.99	16.75
	29.6	-75.9	15.87
	-28.54	-59.24	36.5
	31.96	-57.97	35.34

//Xu, 2005: 2-back > 1-back, increases 
//Subjects=8
	-52.56	12.04	30.98

//Sweet, 2010: 2-back > 0-back, increases 
//Subjects=12
	4.47	-55.11	-1.45
	53.68	-9.36	-31.47
	-29.43	-16.68	-24.85

//Lesage, 2017: shift > stay, increases 
//Subjects=24
	18.82	22.52	-4.33
	-7.19	8.73	-12.61
	-39.66	24.57	-13.63
	5.76	25.04	-11.08
	41.62	3.77	0.5
	-3.63	37.38	18.11

//Loughead, 2015: higher memory load > lower, increases 
//Subjects=72
	1.64	23.46	46.85
	-46.23	29.52	22.42
	46.67	38.56	22.18

//Furey, 2008a: WM > control, increases 
//Subjects=10
	2.12	46.31	4.24
	4.16	54.21	-3.3
	-.18	45.27	-6.82
	17.44	-74.73	-5.33
	-14.99	-70.59	-5.19

//Ingelsias, 2021: delta-2, decreases  
//Subjects=47
	30	22	-3
	-3	17	47
	-48	-39	47
	47	-55	35
	30	55	22
	-36	-51	37
	2	-70	40
	38	23	34

//Addicott, 2012: Money > control, decreases  
//Subjects=13
	-26.08	-29.74	60.59
	44.8	-8.01	-13.39
	-16.5	-56.17	-3.18
	53.31	-25.23	21.3
	35.22	-28.18	53.82
	-2.3	-54.6	-15.47
	-61.38	5.16	3.48
	36.67	-7.84	-9.28
	-34.72	53.87	5.71
	35.15	-6.12	45.08
	-40.96	-69.94	7.58
	14.93	0.77	67.26
	22.55	-65.86	16.84
	-30.16	25	56.92
	52.99	36.53	-16.87
	-2.04	-59.79	12.9
	-11.96	18.13	34.78
	12.68	-12.04	47.53
	3.82	54.7	-26.96

//Beaver, 2011: RVIP > Control, decreases  
//Subjects=15
	-42.84	-67.4	23.64
	0.12	-81.73	25.63
	-8.19	-59.82	10.94
	-2.16	51.18	-10.68
	12.47	-49.13	30.54

//Froeliger, 2012: incongruent > congruent, decreases
//Subjects=17
	36	30	26
	4	36	-8

//Ashare, 2016: stress> control, decreases  
//Subjects=39
	38.97	31.47	13.67
	-1.8	40.15	25.93
	2.14	-63.61	21.02
	53.39	-24.97	29.35

//Kozink, 2010: RVIP > Control, decreases
//Subjects=19
	42	28	14
	46	-78	34
	52	-2	52
	-18	-56	28

//Vossel, 2008: invalid > valid, decreases
//Subjects=24
	15	54	-15
	51	15	45
	36	60	3
	51	0	24
	-51	-18	-21
	42	-42	15
	18	-60	63
	54	-54	36
	24	-48	3
	-15	30	-6
	33	-12	-18
	30	-27	3

//Thiel, 2005: Alerting & Reorienting, decreases
//Subjects=15	
	-45	-60	-12
	18	-60	-18
	3	-72	-15
	3	-60	-27
	-21	-66	-33
	-45	-48	51
	-33	-69	51
	0	-66	45
	39	-69	-27
	-36	-81	-30
	12	-84	-27
	0	-78	-42
	-30	-63	-39

//Thiel, 2008: Invalid > Valid, decreases
//Subjects=13
	36	-81	39
	-45	-57	-3
	57	-45	-3
	-39	-36	-9
	-42	15	18
	-9	-9	-12
	-6	-12	6
	18	-18	9

//Bentley, 2004: Spatial Attention, WM > Control, decreases
//Subjects=18
	6	-54	57
	-33	18	0

//Giessing, 2006: invalid > valid, decreases
//Subjects=15
	16	-12	-26
	-8	-6	-4
	-10	50	-14
	38	4	44
	-64	-46	-4
	34	-48	38
	-44	-72	-4
	-18	-88	-12

//Thiel, 2007: visual & auditory cues > no cue, decreases
//Subjects=14
	69	-27	15
	36	27	51
	-30	51	3
	60	3	9
	-9	-6	45
	18	-69	15

//Azizian, 2010: incongruent > congruent, decreases  
//Subjects=20
	4.36	24.02	30.39

//Xu, 2007: incongruent > congruent, decreases
//Subjects=9
	43	-22	50

//Bunzeck, 2014: novel > familiar, decreases
//Subjects=48
	2	-14	-16
	-20	-32	-22
	-12	-34	0

//Ettinger, 2009: Prosaccade > fixation, decreases 
//Subjects=24
	10.46	-11.3	53.5
	58.44	-4.95	3.87

//Hahn, 2007: imprecise > precise, decreases 
//Subjects=17
	0.35	-77.51	26.72

//Lawrence, 2002: RVIP > control, decreases 
//Subjects=15
	-36.64	3.43	6.9
	-22.72	-31.36	-10.06
	-20.67	-13.59	-15.22

//Sweet, 2010: 0-back > baseline, decreases 
//Subjects=12
	-2.76	23.99	41.27

//Ricciardi, 2009: longer delay > shorter delay, decreases 
//Subjects=10
	29.12	50.77	4.46
	22.49	35.36	-10.71
	15.14	-1.37	-1.35
	21.4	4.64	-17.74

//Furey, 2008a: WM > control, decreases 
//Subjects=10
	25.13	39	28.11
	22.75	44.99	11.87
	24.65	49.61	-7.67
	37.03	7.37	22.07
	32.92	0.2	37.42
	34.5	25.39	-3.2
	34.61	21.86	4.99
	42.26	29.1	13.11
	25.36	-49.04	27.85
	27.5	-60.08	24.42
	32.93	-65.38	24.85
	38	-87.52	-5.54
	38	-57.97	0.5
	49.6	-62.24	-22.8
	-35.41	-91.72	-.51
	-39.96	-80.32	-16.13
	-32.25	-96.69	-7.92

//Freo, 2005: WM > rest, decreases 
//Subjects=13
	25.13	41.13	27.9
	30.47	25.43	20.39
	47.74	16.57	16.49
	45.55	11.99	13.62
	42.22	24.43	9.09
	40.04	13.37	5.73
	36.72	23.69	1.41
	-2.13	-86.68	-17.26
	-4.79	-98.64	15.18
	-1.88	-86.93	2.93

//Furey, 1997: WM > rest, decreases 
//Subjects=21
	48.49	-64.68	-25.91
	28.94	-54.53	-31.06
	22.54	-45.21	-22.91
	53.09	11.81	11.27
	29.56	22.31	33.04
	53.27	24.11	27.98
	31.63	45.72	30.69
	40	56.85	11.52

//Loughead, 2015: higher memory load > lower, decreases 
//Subjects=72
	1.6	-49.02	29.37





